번호,기업명,고객 세그먼트,점수,가치제안,점수,마케팅 채널,점수,고객관계,점수,수익원,점수,핵심활동,점수,핵심자원,점수,핵심파트너,점수,비용구조,점수
211,㈜에이플러스종합건설,"엠코, 현대건설 등 민간기업
서울시, 시, 도 군, 등 관급 공사
중견건설사",C,"정해진 예산안에서 그 이상의 가치를 만들기 위해 더 효율적인 공정관리와 자재선별,
시간단축을 목표로 고품질의 목적물을 만들어 내는 것",C,"공공입찰을 통한 수주
공개되는 회사정보(신용등급)을 기본으로 1군민간 기업에 협력사 등록제안 영업",C,안전과 고품질을 확보하면서 합리적인 견적금액 제시,E,경쟁입찰을 통한 공사수주,D,"발주처의 요구사항을 충족하기 위한 기술과 인재 확보
비용절감을 하면서도 고품질을 확보하여 발주처로부터 신뢰를 쌓는 것",D,"현장경험을 바탕으로 기획력 있는 전문기술인력
건설업 경험이 풍부한 경영진",D,"현대기아 차동차그룹
현대엔지니어링
현대모비스 외 다수 기업
공공입찰을 통한 관공사",B,"인건비, 시공비, 재료비, 사무실임대료 등",E
212,㈜서한,"건축사업 : 토지주, 시행사, 재개발, 재건축, 대행부지 등 민간입찰, 민간공모 사업과 정부기관, 조달청 입찰, 한국토지주택공사, 대구도시공사 등 정부기관 입찰 공모사업 (오피스, 교육/연구/병원, 주택/자체아파트 보급 등)
토목사업 : 조달청 입찰, 한국토지주택공사 등 정부/공공기완 입찰 등 (도로/교량, 철도/지하철, 환경/상수도)
기전사업 : 고도정수처리 급수 시스템, 자동제어, 냉난방 공조 등 공공 및 민간 입찰 사업 등
SOC사업 : SOC민간투자사업 중 민간투자방식 BTL 사업(BuildTransferLease)",A,"지속가능한경영 : 재무 건전성, 시스템경영을 통한 친환경 건설활동으로 내실있는 성장체제 구축
품질경영 : “계획/실행 > 운영/점검 > 경영검토/개선 > 품질방침(육성)”을 통한 품질경영
안전보건경영 : “자체평가, 안전보건방침, 계획수립, 점검 및 개선, 경영자검토”를 통한 안전보건경영
환경경영 : 선진 환경경영 체계구축, 환경보전활동 능동대응, 최신 환경기술 도입, 지역사회유대강화
윤리경영 : 투명한 조직, 공정업무, 윤리규범 등을 통한 부패취약부분개선, 예방적윤리강화 등
상생경영 : 협력회사와의 동반성장 실천, 동반성장을 통한 도약 및 내실화
사회공헌 : 지속가능한 행복을 지향하는 봉사활동(사랑의 집수리, 자원봉사, 재해복구, 장학재단 등)",A,"한국토지주택공사, 대구도시공사 등 발주처, 시행사 등 공공입찰, 민간입찰을 통한 입찰참가
광고를 통한 직접 홍보 및 분양사업 (자체 사업)
개인영업, 연락을 통한 사업 수주
대학교 실습생 체험 등을 통한 회사 홍보 및 마케팅",B,"유튜브, 인스타그램 등 온라인 마케팅 시도
신문, 라디오 광고 등을 통한 분양홍보 마케팅
자체아파트 모델하우스 건립 및 홍보를 통한 직접 홍보
신기술 도입 등 검토를 통한 고객 니즈 파악 및 자체사업, 민간입찰시 반영",C,"경쟁입찰을 통한 계약으로 공사대금 수령
자체아파트 판매를 통한 수익
민간입찰, 수의계약 등을 통한 공사대금 수령
S.O.C 사업, B.T.L 사업을 통한 운영수익
공공지원 민간입찰을 통한 리츠사업 등을 통해 민간임대주택 보급으로 임대수익",B,"자체 아파트 및 민간임대를 통한 분양 및 임대사업
토지주, 시행사, 재개발, 재건축, 대행부지 등 민간입찰, 민간공모 사업과 정부기관, 조달청 입찰, 한국토지주택공사, 대구도시공사 등 정부기관 입찰 공모사업
조달청 입찰, 한국토지주택공사 등 정부/공공기완 입찰 등 도로/교량, 철도/지하철, 환경/상수도, 정수처리 급수 시스템, 자동제어, 냉난방 공조 등 공공 및 민간 입찰 사업 등
SOC사업 : SOC민간투자사업 중 민간투자방식 BTL 사업(BuildTransferLease)",C,"전문지식과 기술력을 통한 LH우수시공 11회 등 건축본부, 토목본부의 인적자원
시장흐름 및 영업수주를 통한 기술혁신본부, 영업본부의 영업능력
자체브랜드아파트(서한이다음, 서한포레스트) 론칭을 통한 브랜드파워
50년이상 지역건설사의 자부심 및 대구광역시 인증 5년연속 고용친화기업",D,"정부기관 및 공공기관 발주처 (한국토지주택공사, 대구도시공사, 조달청 등)
공동입찰을 통한 공동사(동종건설업 도급사업자)
상생협력을 위한 협력업체(분야별 하도급사업자)
민간입찰 등 공모사업을 위한 (설계사무소 등)",A,"자체사업 리츠사업의 경우 건설원가(토지비, 직접공사비, 설계비, 감리비, 취득세, 원인자부담, 법률/재무자문수수료 등) 및 리츠운영비(위탁, 자산관리, 사무수탁, 신주발행, 모델하우스 운영, 광고홍보, 분양대행수수료, 입주지원/관리비, 임대운영비, 관리수수료, 수선유지비, 수선충당금 등) 이 발생하며, 발주처의 입찰 방식, 내역, 사업구조에 따라 달라짐.",D
213,참조은세무회계,"법인사업자
개인사업자",C,"신뢰할 수 있는 세무, 회계 서비스의 제공",D,"온라인 포털 광고
인적네트워크를 통한 영업
나라장터 입찰",C,"담당 직원과 고객과의 상시 소통(전화, 메일, 카톡 등)
신고기간별 신고안내 연락 돌리기
기존 거래처의 주변인들 중 새로운 고객이 될 수 있는 사람들이 있는지 파악
지속적인 온라인홍보(포털 광고)",C,"세무조정, 기장대리, 회계감사 서비스 제공을 통한 수입",C,"개정된 세법 및 관련법률에 대한 주기적 교육실시를 통해 직원 역량 강화
지속적인 홍보활동을 통해 신규고객 발굴",D,"기장담당 여직원(수임업체 규모에 따라 연차 및 직무능력을 고려한 담당자 배정)
회계사(전반적인 사무실 업무 컨트롤 및 회계감사업무 수행)",E,"승강기안전공단, 하이브리텍, 신영엘에스",B,"인건비, 사무실 임대료, 광고비, 출장 여비, 차량유지비",D
214,성우조경㈜,"종합건설 및 시행사
레저 시설 업체",C,품질과 신뢰를 바탕으로 한 영속성 유지,D,"종합건설업체 협력사 등록
개인 인맥을 통한",D,건설사· 시행사· 레저산업업체와의 협력관계를 통한 신뢰 구축,E,경쟁입찰을 통한 공사 수주 후 원가절감으로 수익 창출,C,"제각각 다른 현장에서 우수한 결과물을 만들어낼 수 있도록 기술력을 바탕으로 설계 변경 또는 제안을 통해서 공감대 형성
특허공법 적용",C,전문기술인력 확보로 차원 높은 시공능력을 향상시키고 불필요한 요소 제거,E,종합건설사· 시행사· 레저사업 시행사,C,"인건비, 재료비, 장비비, 물류비, 사무실 임대료",E
215,BNS Branding,"소비재 기업의 브랜드 전략 및 개발 컨설팅업무 및 B2B기업의 브랜드 전략 
대기업의 브랜드 개발 (농심, 동원, 하림)을 포함해서 중견 및 소상공인 등 다양한 스펙트럼으로 진행 중소기업의 경우 다양한 정부지원방법 (수출 바우처, RIPC 사업)을 통하여 프로젝트를 진행 ",C,"브랜드 및 디자인 개발을 통한 고객사의 기업 경쟁력 확보 및 브랜드 경쟁력 강화 
궁극적 목표는 기업의 매출액 증대",D,"1안 – 지원기관 (RIPC )기관의 지원 프로젝트 (2020 프로젝트의 40%)
2안 – 나라장터를 통한 정부입찰 – 20%
3안 – 지명경쟁 – 업체간 지명 경쟁을 통한 프로젝트 수주",C,현재는 영업총괄인 본인의 역량에 의존하는 상황이며 2021년부터 글로벌 네트워크 회사와의 협력적 온라인 세미나 준비 중,E,"수의계약에 의한 수수료
경쟁입찰에 의한 수수료
지명입찰에 의한 수수료",D,"업의 브랜드 자산 확인 및 Audit 
개발 목표 설정 
브랜드 속성구축 및 포지셔닝 구축 
브랜드 네이밍 개발 및 지적재산권 확보 
브랜드 디자인 개발 및 후속작업 (Application)
브랜드 커뮤니케이션 전략 
글로벌 브랜드 구축을 위한 컨설팅 ",A,"20년전통의 전문적 경륜 
글로벌 네트워크 (옴니콘 산하 Siegel & Gale)을 통한 글로벌 전문성확보 및 글로벌 브랜드 개발",C,"글로벌 네트워크 (옴니콘 산하 Siegel & Gale)을 통한 글로벌 전문성확보 및 글로벌 브랜드 개발
(뉴욕, LA, 샌프란시스코, 런던, 상하이, 도쿄 등 네트웍)",D,"인건비
마켓리서치
사무실임대료
중요 컴퓨터 장비 구입",E
216,KT,"일반 소비자들을 대상으로 서비스를 제공하는 B2B 기업: 정보통신서비스 제공업자, 방송사, 학교, ICT 관련 기업 등
공공 프로젝트를 발주하는 정부 및 공공기관
ICT 서비스를 필요하는 개인 고객",C,"(기업) 고객이 자사의 (소비자) 고객을 대상으로 가치 창출을 할 수 있도록, KT의 인프라 및 서비스 환경을 제공을 통한, (기업) 고객 사업 추진의 효율성 및 편의성 달성",A,"KT의 B2B 영업채널(영업조직)을 통한 제안 영입
홈페이지를 이용한 홍보 마케팅",C,"(기업) 고객이 원하는 QoS 달성(장애 없는 지속적이고 안정적인 ICT 인프로 서비스)
(기업) 고객의 사업 환경에 적합한 부가서비스를 제안함으로써 Up-selling 및 Cross-selling 달성",E,"KT IDC 서비스 이용계약 체결을 통한 신규 수익
기존 고객들 과의 연장계약 체결",C,"영업채널로부터 가능고객 리스트를 확보하여, 해당 고객 대상으로 다양한 영업 활동 수행
사업 부서(BM)와 공동으로 신규 서비스 개발, 인큐베이팅 및 출시
고객의 신규 니즈를 파악하기 위한 설문 등 조사 활동
서비스 QoS 달성을 위한 ICT 인프라 점검 및 업그레이드 
장애 발생시 영업 채널과 공동으로 고객 대응 
효율적 ICT 운영을 통한 비용 절감 추진",B,"업계 1위의 네트워크 인프라 자원 
신규 및 기존 고객을 관리하는 영업조직
신규 인프라 및 서비스를 개발하는 R&D 능력",C,"네트워크 장비 공급업체 (시스코, 주피터 등)
기업고객들 대상으로 공동으로 ICT 서비스를 제공하는 협력업체",D,"인건비, 네트워크 장비 투자비, 건물 건축비 ",E
217,이수인㈜,"욕실용 건자재 생산 업체
백화점. 대형마트 등 오프라인 판매업체
SNS 판매대행업체
홈쇼핑",C,"앞서가는 기술혁신으로 업계를 선도하고,
최고의 품질로 고객신뢰를 우선하여,
공동의 이익을 실현하는 기업문화를 창조한다.",B,"밸브류
 - 위생도기업체와 공동개발 또는 ODM을 통한 년간 계약
소비재 상품
-	쇼설커머스 및 홈쇼핑
오프라인 (백화점, 고끼오, 모던하우스, 이마트, 롯데마트)",C,"정부정책에 대해 선재적 대응안을 마련하여 납품업체와 정보공유 및 대응책에 대하여
공동연구 활동
 소비자 불만사항에 대하여 기술적 대안을 마련하여 해결책 강구
지속적인 기술혁신으로 산업재산권 확보 및 동종업체와 기술적 차별화 전략
온라인을 통한 B2C판매 강화로 자사브랜드 이미지 재고",C,"소재개발을 통한 지속적 원가절감
절수등 기술혁신을 통한 고부가가치형 제품개발로 판매단가 상승
B2C상품 포토폴리오 확대 구성으로 매출액 확대 및 이익율 극대화",A,"고객의 요구에 귀를 기울인다
규제 및 정부정책에 선제적 대응되는 기술개발을 우선한다
동종업체와 차별화되는 기능형 제품을 개발하고 산업재산권을 확보한다
시장의 동향 파악 후 신속한 의사결정으로 시장을 앞서간다
SNS을 통한 광고활동시 고객감성이 되는 포인트를 찿는다",C,"당사 부설연구소의 실적적 운영이 되도록 인적/물적 지원체계 확립
품질 경영 시스텝구축(고객과의 정기적 협의를 통한 문제점파악 및 해결책모색)
효율적 A/S관리 및 FEEDBACK관리를 위하여 수도권은 고객지원팀 자가운영 및 전국적 관리를위하여 20여곳의 A/S직영점 운영
첨단화된 관리시스템 운영 (관리통한 ERP,  SART FOCTORY, 전자결제SISTEM 확립)",C,"납품업체의 연구개발팀 & 영업팀
SNS 위탁 판매업체
백화점 및 홈쇼핑 등 MD",D,"제품개발을 위한 경상연구개발비
제품생산을 위한 금형제작비
재료비,
인건비 및 4대보험료
지급임차료 등 경비
제품운반비
온라인판매 수수료
광고선전비",C
218,이니스트팜 주식회사,"현재 B to B에서 점차 B to C로 확대
(제약회사가 주 고객이나 점차 중간 유통업자(도매상, 약국)로 확대한 뒤 
이후 특화된 제품 개발을 통해 제품에 적합한 최종 소비자를 타겟)",C,"웰케어 제품(일반의약품, 의료기기, 건강식품, 화장품)을 개발하여, 전문 유통채널을 통해 
비대면으로 교육, 홍보하고 
기존 확보된 빅데이터를 기반으로 구축된 IT유통 플랫폼을 통해 고객에게 공급하여 
인류의 삶의 질을 높이는 특화된 웰케어 제품을 공급.",A,"매일 매일 신규 약국 정보 입수(심평원 자료) – 전문 판매자에게 제공
개발 제품에 대해 사전 약국 약사들 대상 온라인 제품 정보 제공 – 유투브 교육, 카톡 질의 응답 등 
전문 판매자 용 앱 개발 – 제품정보, 판매수수료, 정책 등 정보 제공
홈페이지 활성화 – 제품 정보,를 통한 질의 응답, 판매원 모집, 계약 등
전문 유튜버 활용 등",A,"정기적인 뉴스 레터 발송, 전문가 그룹을 통한 유튜버 교육, 홍보
앱 개발 제공(판매자), 약사, 판매자 등에 필요한 정보 오픈, 회원 가입을 통해 중요 정보 제공
(예: 개원 약국가 정보, 인기 제품 실시간 제공, 자사제품 비교 정보 제공 등)",B,"약국 : 웰케어 제품 공급에 대한 제품 대금 수입
판매자 : 제품 판매 대행 수수료 제공
유통플랫폼 구축을 통해 예상되는 최대 기대 효과는 제품 개발, 도입 비용 최소",C,"주요 유통 채널인 약국 정보, 약사 회원 DB 구축
전문판매업자 회원 확보 우선 : 판매 대행 계약
유통 플랫폼에서 취급할 주요 웰케어 제품 개발",C,"의약품 원료, 완제의약품, 건강식품, 의료기기 등 웰케어 제품에 대한 풍부한 사업 경험(30년)
관계회사의 인적 자원과 제품 개발 능력
빅데이터를 이용한 유통플랫폼 구축
B to B 기반으로 상업을 영위해 제약회사 고객을 다수 확보",B,"제약회사(국내 상위 제약사 다수 고객), 
약국(드럭스토어), 전문 도매상
해외 파트너(제약회사, 건강식품 회사)",D,"제품 도입 비용(상품 수입 또는 OEM 생산) – 허가비용, 인쇄비 등
인건비, IT 유지비, 물류비, 광고비, 창고 보관료, 사무실 임대료
판매수수수료, 영업비",E
219,㈜렉시아,"건설사 
서비스업
통신사 
자동차 부품업체 
골프장 ",C,"제품을 통한 신뢰를 구축하는 것
새로운 디자인 창출
신규 거래선 수주",C,"고객에게 직접 영업을 통한 입찰 참가 
회사 소개서 , 블로거 , 홈페이지 
관공서 입찰 ",C,"제품 납품 후 -> 만족도 조사-> 품질개선 사항 반영 
 담당자와 자주 미팅 및 연락하여 필요 부분을 계속적 피드백
 현장 담당자와 미팅",C,"경쟁입찰을 통하 계약으로 공사대금 수령
직접 영업을 통한 영업 
관공서 입찰 ",C,"영업할 회사의 사전 조사 
다양한 홍보 – 홈페이지, 회사소개서, 블로거. 
직접적인 영업활동
납품업체의 만족으로 인한 업체 연결
회사 브랜드의 인지도로 인하여 선택",C,"문제의 대응할 수 있는 인재 
기본을 바탕으로 한 디자인 능력 
다양한 협력업체
전문가형 기획자 (디자인기획과 마케팅 능력)",C,"건설사 
통신사 
자동차 부품업체 
프렌차이즈
금융권, 공사",D,"임가공, 인건비, 물류비, 설비 투자비, 영업비용",D
220,㈜노바모드,"건설사 
서비스업
통신사 
자동차 부품업체 
골프장 ",C,"제품을 통한 신뢰를 구축하는 것
새로운 디자인 창출
신규 거래선 수주",C,"고객에게 직접 영업을 통한 입찰 참가 
회사 소개서, 블로거, 홈페이지 
관공서 입찰 ",C,"제품 납품 후 -> 만족도 조사-> 품질개선 사항 반영 
 담당자와 자주 미팅 및 연락하여 필요부분을 계속적 피드백
 현장 담당자와 미팅",C,"경쟁입찰을 통하 계약으로 공사대금 수령
직접 영업을 통한 영업 
관공서 입찰 ",C,"영업할 회사의 사전 조사 
다양한 홍보 – 홈페이지, 회사소개서, 블로거 
직접적인 영업활동",D,"문제의 대응할 수 있는 인재 
기본을 바탕으로 한 디자인 능력 
다양한 협력업체",D,"건설사 
통신사 
자동차 부품업체 
프렌차이즈",D,"원부자재
임가공 
인건비 
물류비 
설비 투자비",D
221,주식회사 글로벌소싱엔터프라이즈,국내외 APPAREL BRANDS/WHOLESALERS,C,"브랜드에 적합한 소재/상품 제안 및 개발에서부터 완제품 제작/출고까지 모든 APPAREL과정 진행하여 CUSTOMER의 업무효율 및 제품 완성도, 경쟁력을 높임. 
뛰어난 품질의 제품을 합리적인 가격으로 공급하여 CUSTOMER의 매출을 극대화.
해외 브랜드의 소재/상품 등을 국내브랜드에 벤치마킹/제시로 다양한 소재/제품 제안.",C,"인맥을 통한 영업
고객에게 직접 영업.
회사 소개서. 
박람회 참가.",C,"브랜드/고객사와의 지속적인 미팅. 
미팅과 이메일 교신을 통한 업무제안/피드백으로 고객의 니즈를 파악하고 제품개발에 적용.
시즌별 트랜드 분석 후, 각 브랜드별 특화된 자료/소재/디자인 작성 및 배포. 
상품을 안정적으로 생산하고 공급할 수 있는 공급력 유지 및 지속적인 기술개발에 대한 홍보.",C,직접 영업을 통한 오다 수주 및 제품 대금 수령,C,"영업할 회사의 사전 조사 및 다양한 홍보 회사소개서
인맥을 통한 영업활동. 박람회통한 새로운 고객사발굴 및 직접적인 영업활동",C,"각 파트별 전문화된 인적자원-디자인/소재개발 및 생산/영업/생산관리/공장시설 및 COMPLIANCE. 
제품 생산을 위한 안정적인 생산력-공장, 설비 및 전문화된 기술. 
각 단계별 아웃소싱 협력사.
직/간접적인 영업 및 생산관리의 능력을 가지고, 합리적인 의사결정하며, 시장흐름을 파악하고 변화를 이끄는 경영진.",C,"국내외 APPAREL BRANDS/WHOLESALERS.
AMAZON/QVC/DKNY/CK/URBAN OUTFITTERS/NORDSTROM/EMART DAIZ.",D,"원부자재
임가공 
인건비 
물류비 
설비 투자비
RND 투자비",C
222,㈜더블유에스글로벌,"네일샵 
네일아트에 관심이 많은 일반인
10대여성
미용업종사자 ",C,"제품을 통한 신뢰를 구축하는 것
새로운 디자인 창출
신규 거래선 수주
제품의 최저가",C,"SNS를 통한 마케팅 
확보된 DB를 이용한 마케팅 ",D,"친절한 상담 배송의 정확성 
신규상품의 알림",D,"제품판매의 의한 마진
직접 영업을 통한 영업 ",D,"해외 공장을 섭외/최저가의 상품 제조 
다양한 홍보 – 홈페이지, 회사소개서, 블로거 
직접적인 영업활동",D,"문제의 대응할 수 있는 인재 
기본을 바탕으로 한 디자인력 
다양한 협력업체",D,"중국공장 
네일관련협회",D,"원부자재
임가공 
인건비 
물류비 
설비 투자비",D
223,㈜대한건설ENG,"관공서, 공기업
건설사
설계사무소
민간투자사업 시행사",C,"정확한 기준준수를 통한 설계
창의적이고 합리적인 노선개발 토목과 서비스를 접목한 개발사업",C,"관공서 및 공공기업 발주에 대한 입찰 참여
신규 노선 개발을 통한 민간투자사업 개발",C,"입찰을 통한 수주물량에 대하여 감독부서와의 소통을 통해 보다 정확하고 필요한 수준의 과업 진행 
개발한 노선의 제안을 위하여 건설사와 소통하고 인허가 기관의 이해를 높여 고객(건설사)의 신뢰를 향상시킴",D,"설계 및 감리 입찰을 통한 수주와 기성금 수령
민자사업 개발 및 최초제안과 연계된 후속 3자제안 참여, 전차용역사의 지위로 감리수주",C,"관급 수주(설계 및 감리)를 위한 동종 설계사와의 컨소시엄 확보
제안서 평가를 위한 평가위원과의 원만한 관계유지
보유하고 있는 신기술의 설계 적용으로 시공시 기술료 확보 
고객(건설사)와의 평소 소통을 통해 민간투자사업 노선 제안에 대한 이해증대 
고객의 필요에 부합하는 노선개발",B,"90%이상 직원이 학사이상의 고학력 자로 튼튼한 기술인력보유 
다수의 전문 기술사 보유로 설계성과품에 대한 품질 확보
국내 토목(도로) 민간투자사업 제안능력 상위 3위",D,"건설사 SOC팀, 구매부서, 설계팀
인천시, 인천시, 인천시경제자유구역청, 인천도시공사, 국토교통부, 한국도로공사, LH공사",C,"인건비
외주비 (직접경비-측량비, 지반조사비, 인허가비등)
사무실 임대료
설계 프로그램 구입비",E
224,법무법인 동률,"법률서비스를 필요로 하는 기업, 공공기관, 개인",C,신뢰와 경험을 바탕으로 최상의 법률서비스를 제공하는 고객만족 추구 ,C,"개인 인맥을 통한 고객 영업
홈페이지를 통한 상담
블로그 마케팅(예정)",D,"현재에는 특별한 방법은 없음
블로그 등 온라인 채널 마케팅 진행 예정",E,"자문 수수료
소송 착수금 및 성공보수금",D,기존고객이나 인맥을 통해 연락이 온 고객에 대하여 자문에 응대하고 고객이 요청하는 경우 소송사건을 수입하여 활동,E,변호사들의 전문지식과 경험을 통해 보유하고 있는 노하우,D,"본사에서 자문을 하고 있는 기업들
본사와 자문계약을 맺고 있거나 본사의 서비스를 경험한 고객들",E,"사무실 임대료
인건비
운영비
광고비",D
225,두산건설,"아파트 입주를 원하는 모든 사람
아파트 건설을 원하는 조합. 토지주. 시행사
일반 건축물 건설을 원하는 건축주
공공공사 발주기관
건축물 시공을 위한 전문건설업체",C,"인류의 더 나은 삶의 터전을 위해 미래를 준비
고객이 최상의 만족을 누리기 위해 차별화된 기술 개발과 혁신 추구
이익 창출에 대한 기업의 사회적 책임 실현
종업원 및 협력업체의 직. 간접 투자를 통한 동반성장 추구",A,"차별화된 브랜드 구축으로 다시 찾고 이용하고 싶은 구매충동 소비자
품질확보와 원가절감을 통한 가격 경쟁력을 생산하는 기술연구소
신뢰와 신속하고 친절한 A/S 시스템 
품질. 신뢰. 원가의 우수성을 인정한 시행사. 개발사",E,"편리한 주거환경을 위한 최적의 설계 안 제공
개발사업에 대한 금융상품 소개 및 사업방식 개발과 가치 있는 사업기회를 지속적으로 발굴하기 위한 고객과의 세미나 장 제공
사업장 주변 친환경 조성",C,"경쟁입찰을 통한 계약의 공사대금
공공입찰을 통한 계약의 공사대금
설계변경을 통한 원가절감",B,"고객 니즈에 특화된 브랜드의 신뢰구축과 철저한 A/S 실현
모든 각 구성원이 내 집 짓는 정성과 마음을 갖을 수 있도록 조직역량 강화
현대인들이 갖고 싶고, 살고 싶은 공간으로 삶에 대한 사랑을 키워 나갈 수 있도록 설계되고 생활의 모든 니즈들이 해결되는 편리한 공간을 제공",B,"60년 전통을 자랑하는 역사와 기술력
업계 1위의 역사속에서 다 분야의 시공실적과 그 기술력을 갖춘 구성원
레미콘사를 자회사로 둔 최고의 콘크리트 기술력",D,"건설사 도시정비사업 관련부서
개발사업 관련 업체(금융권, 시행사, 조합, 토지주)
설계사무소
공공발주처(LH공사, SH공사, 지방 도시공사 등)",D,"고정비 (직원 인건비), 관리비, 광고비, 영업비, 
설비 투자비, 개발 투자비, 브랜드 설계비
건설 시공비",A
226,주식회사 우리에프앤비,"편의점, 매점, 슈퍼마켓",C,"주문 품목 수량에 대한 정확성과 신속한 배송
품목 다양화
신속한 신제품 취급 
다양한 판매촉진 제안",C,오프라인,E,"저 마진으로 대면 관리
평상시 관계관리 ",E,제품 배송에 대한 수수료,E,가맹점의 주문에 따른 정확하고 신속한 배송,E,"가맹점 상권에 맞는 제품 믹스 등에 대한 컨설팅
다양한 제품 수급 ",E,주류 제조사,D,"인건비
재고
차량유지비용",E
227,㈜이음파트너스,"1차 타겟 : 공간의 경험가치 극대화를 통한 새로운 사업을 전개하는 기업
2차 타겟 : 실제 시행하는 건축주, 시행사, 설계사무소
3차 타겟 : 공공기관 ( 자치단체, 한국디자인진흥원, 한국공예문화 디자인진흥원, 컨텐츠 진흥원 )",B,"공간의 경험가치극대화를 통한 장소명소화, 공간브랜드 구축
이를 통한 클라이언트의 개발이익 극대화 지원
고객이 공간에서 보고, 느끼는 경험 가치(experiential Value)를 디자인
고객과 만나는 접점공간에서 이용자의 내재된 경험 가치를 살피고, 해석하여 통섭적인 융합화를 통해  특정 공간이나 장소, 도시의 가치를 높이는 장소 명소화, 공간브랜드 구축에 국제적 전문성을 발휘 Place-making, Place-branding",C,"우리가 수행한 프로젝트가 영업기능 수행
장소에서의 특별한 경험제공 → 온라인이나 고객사를 통한 디자인사 확인 → 연락 온 고객에게 영업상담 및 제안
회사의 미래가치 중심으로 제한적인 공공조달 입찰참여",C,"남들과 다른 디자인제안과 구축을 통해 고객의 성공과 담당자의성장을 통한 지속성 유지
일관된 공간브랜드구축과 유지를 통한 기업의 브랜드가치 창출 유도
국제적인 어워드 등을 통한 결과물의 가치증명",D,"디자인컨설팅 용역 ( 80%)
컨설팅결과의 고객 요청에 의한 시공 ( 20%) – 인테리어 및 공간 환경시설물, 광고물 중심",C,"Place Branding - Branded Environments
Space Design -  Exhibitions and Public Art, Public Facilities, Interactions
Environmental Graphic -  Signage & Wayfinding System, Color Plan, Motion Graphics
Service Design & Strategy -  CPTED, Master Plan, Consulting",C,"Place Branding, Place Making분야의 국제적인 전문성
미국 공간경험디자인협회 글로벌 디자인어워드 아시아 최다 수상, 최근 5년기준 세계최다 수상
잇어워드 최초의 3년연속 그랑프리 수상
공공환경분야 굿디자인어워드 최다수상 회사
회사의 80% 5년이상의 장기근속자
일관된 전문성 유지",D,"삼성, 현대자동차, 신세계, 제일기획, 삼우설계 및 종합설계사
서울시, 한국디자인진흥원, 공예문화디자인진흥원 및 지자체
주요협력파트너 : 전문분야 대학교수 및 연구소, 인테리어 단종회사 및 광고물,시설물 제작사",A,"인건비 ( 50% )
각종세금 및 소프트웨어 및 컴퓨터 감가 상각비 ( 15% )
은행이자 및 공과금 ( 10% )
광고.홍보 및 제안비용 ( 15% )
운영비 외주비 ( 10% )",D
228,주식회사 더라이징,"금융기관, 신탁사, 토지주
예비 분양주",C,접근성 좋은 부지에 품질이 우선시되는 부동산 공급,D,"온라인 오프라인 분양광고
개인 인맥에 의한 신뢰 정립",C,"온, 오프라인 광고
기존에 개발을 완료한 건물의 홈페이지 소개를 통한 신뢰구축 (공정보고를 통한 수분양자 소통)",D,"부동산 공급을 통한 분양매출
부동산 금융 및 개발 자문 (부동산 개발 금융 컨설팅)",C,"금융기관과의 밀접한 신뢰구축 (80-90년생 부동산금융인 모임 창설 및 활동)
철저한 공정관리 및 수분양자와의 공유를 통한 신뢰 정립",C,"부동산 개발경험에 따른 역량 (금융, 시공, 분양, 재무)",E,"제2금융기관 (저축은행, 증권사, 새마을금고, 신협)
신탁사
시공사
분양 및 광고대행사",B,"인건비, 시공비, 재료비, 광고비, 복리후생비
금융비용 (이자 및 수수료)
사무실임대료",C
229,연동사업㈜,"건설회사
인테리어 회사
시행사, LH, SH, 지방공사",C,"국내 시장점유 1위 기업의 기술과 품질, 안정적인 자재 공급
현장의 특성에 맞는 제품 제안
철저한 현장관리를 통한 현장에 적합한 부속류 제안
현장 납기에 맞춘 안정적인 납품관리",C,"제조업체와 연계한 영업
인터넷 및 모바일을 통한 광고(키워드 및 블로그, SNS)
건설사 및 시행사에 제안서 영업
인맥을 통한 영업",C,"고객사에 신제품 및 신기술 안내
설계시에 제품의 장단점 등을 안내하여 설계에 반영될 수 있도록 함
고객사의 사업계획 정보를 수집하여 미리 대응함",D,제품 판매에 따른 이익,D,"기존 거래처와의 원만하고 긴밀한 유대관계 형성
사업 초기부터 설계에 반영될 수 있도록 함 
최종 소비자의 NEEDS 변화를 설명하고 니즈에 맞는 제품을 제안
취급 제품 뿐 아니라 연관 산업의 정보 및 기술에 대한 이해를 높임",C,"오랜 현장 경험에 의한 현장의 폭넓은 이해
취급 제품에 대한 이해와 빠른 신제품 정보
시공 및 납품과정에서 생길 수 있는 위급한 상황에 대한 빠른 조치",E,"건설사 개발팀, 설비팀, 기전팀, 구매팀
설계사무소
현장 관리자
제조업체",D,"인건비, 물류비
광고비, 영업비
하자처리비
사무실임대료
차량운영비",C
